From,To,Fastest Train Time
Paderborn hbf,Leipzig hbf,3 h 22m
Leipzig hbf,Fürth hbf,2 h 7m
Fürth hbf,Leipzig hbf,2 h 7m
Leipzig hbf,Gelsenkirchen hbf,4 h 59m
Gelsenkirchen hbf,Leipzig hbf,4 h 59m
Leipzig hbf,Neunkirchen hbf,5 h 22m
Neunkirchen hbf,Leipzig hbf,5 h 22m
Leipzig hbf,Nürnberg hbf,2 h 4m
Nürnberg hbf,Leipzig hbf,2 h 4m
Leipzig hbf,Kaiserslautern hbf,4 h 35m
Kaiserslautern hbf,Leipzig hbf,4 h 35m
Leipzig hbf,Magdeburg hbf,1 h 12m
Magdeburg hbf,Leipzig hbf,1 h 12m
Leipzig hbf,Braunschweig hbf,2 h 6m
Braunschweig hbf,Leipzig hbf,2 h 6m
Leipzig hbf,Ulm hbf,4 h 38m
Ulm hbf,Leipzig hbf,4 h 38m
Leipzig hbf,Münster (Westf) hbf,4 h 34m
Münster (Westf) hbf,Leipzig hbf,4 h 34m
Leipzig hbf,Rostock hbf,3 h 32m
Rostock hbf,Leipzig hbf,3 h 32m
Stuttgart hbf,Frankfurt hbf,1 h 27m
Frankfurt hbf,Stuttgart hbf,1 h 27m
Stuttgart hbf,Freiburg (Breisgau) hbf,2 h 7m
Freiburg (Breisgau) hbf,Stuttgart hbf,2 h 7m
Stuttgart hbf,Berlin hbf,5 h 59m
Berlin hbf,Stuttgart hbf,5 h 59m
Stuttgart hbf,Sinsheim (Elsenz) hbf,1 h 52m
Sinsheim (Elsenz) hbf,Stuttgart hbf,1 h 52m
Stuttgart hbf,Mainz hbf,1 h 38m
Mainz hbf,Stuttgart hbf,1 h 38m
Stuttgart hbf,Wolfsburg hbf,4 h 43m
Wolfsburg hbf,Stuttgart hbf,4 h 43m
Stuttgart hbf,Mönchengladbach hbf,3 h 11m
Mönchengladbach hbf,Stuttgart hbf,3 h 11m
Stuttgart hbf,Bremen hbf,5 h 31m
Bremen hbf,Stuttgart hbf,5 h 31m
Stuttgart hbf,Augsburg hbf,1 h 21m
Augsburg hbf,Stuttgart hbf,1 h 21m
Stuttgart hbf,Bochum hbf,3 h 35m
Bochum hbf,Stuttgart hbf,3 h 35m
Stuttgart hbf,Hamburg hbf,5 h 24m
Hamburg hbf,Stuttgart hbf,5 h 24m
Stuttgart hbf,Kiel hbf,6 h 45m
Kiel hbf,Stuttgart hbf,6 h 45m
Stuttgart hbf,Köln hbf,2 h 21m
Köln hbf,Stuttgart hbf,2 h 21m
Stuttgart hbf,Darmstadt hbf,1 h 30m
Darmstadt hbf,Stuttgart hbf,1 h 30m
Stuttgart hbf,Düsseldorf hbf,2 h 31m
Düsseldorf hbf,Stuttgart hbf,2 h 31m
Stuttgart hbf,Karlsruhe hbf,1 h 10m
Karlsruhe hbf,Stuttgart hbf,1 h 10m
Stuttgart hbf,Hannover hbf,4 h 5m
Hannover hbf,Stuttgart hbf,4 h 5m
Stuttgart hbf,Paderborn hbf,4 h 17m
Paderborn hbf,Stuttgart hbf,4 h 17m
Stuttgart hbf,Fürth hbf,2 h 34m
Fürth hbf,Stuttgart hbf,2 h 34m
Stuttgart hbf,Gelsenkirchen hbf,3 h 8m
Gelsenkirchen hbf,Stuttgart hbf,3 h 8m
Stuttgart hbf,Neunkirchen hbf,2 h 28m
Neunkirchen hbf,Stuttgart hbf,2 h 28m
Stuttgart hbf,Nürnberg hbf,2 h 7m
Nürnberg hbf,Stuttgart hbf,2 h 7m
Stuttgart hbf,Kaiserslautern hbf,1 h 37m
Kaiserslautern hbf,Stuttgart hbf,1 h 37m
Stuttgart hbf,Magdeburg hbf,5 h 18m
Magdeburg hbf,Stuttgart hbf,5 h 18m
Stuttgart hbf,Braunschweig hbf,4 h 25m
Braunschweig hbf,Stuttgart hbf,4 h 25m
Stuttgart hbf,Ulm hbf,39m
Ulm hbf,Stuttgart hbf,39m
Stuttgart hbf,Münster (Westf) hbf,4 h 2m
Münster (Westf) hbf,Stuttgart hbf,4 h 2m
Stuttgart hbf,Rostock hbf,8 h 14m
Rostock hbf,Stuttgart hbf,8 h 14m
Frankfurt hbf,Freiburg (Breisgau) hbf,2 h 7m
Freiburg (Breisgau) hbf,Frankfurt hbf,2 h 7m
Frankfurt hbf,Berlin hbf,3 h 59m
Berlin hbf,Frankfurt hbf,3 h 59m
Frankfurt hbf,Sinsheim (Elsenz) hbf,1 h 44m
