From,To,Fastest Train Time
Karlsruhe hbf,Aachen hbf,3 h 5m
Aachen hbf,Karlsruhe hbf,3 h 5m
Karlsruhe hbf,Bielefeld hbf,4 h 26m
Bielefeld hbf,Karlsruhe hbf,4 h 26m
Karlsruhe hbf,Dresden hbf,5 h 37m
Dresden hbf,Karlsruhe hbf,5 h 37m
Karlsruhe hbf,Cottbus hbf,6 h 55m
Cottbus hbf,Karlsruhe hbf,6 h 55m
Karlsruhe hbf,Aue (Sachs) Bahnhof,7 h 15m
Aue (Sachs) Bahnhof,Karlsruhe hbf,7 h 15m
Karlsruhe hbf,Ingolstadt hbf,3 h 41m
Ingolstadt hbf,Karlsruhe hbf,3 h 41m
Karlsruhe hbf,Osnabrück hbf,4 h 20m
Osnabrück hbf,Karlsruhe hbf,4 h 20m
Karlsruhe hbf,Essen hbf,2 h 57m
Essen hbf,Karlsruhe hbf,2 h 57m
Karlsruhe hbf,Saarbrücken hbf,1 h 53m
Saarbrücken hbf,Karlsruhe hbf,1 h 53m
Karlsruhe hbf,Heidelberg hbf,34m
Heidelberg hbf,Karlsruhe hbf,34m
Karlsruhe hbf,Gütersloh hbf,4 h 16m
Gütersloh hbf,Karlsruhe hbf,4 h 16m
Karlsruhe hbf,Mannheim hbf,23m
Mannheim hbf,Karlsruhe hbf,23m
Karlsruhe hbf,Wiesbaden hbf,1 h 31m
Wiesbaden hbf,Karlsruhe hbf,1 h 31m
Hannover hbf,Aachen hbf,3 h 36m
Aachen hbf,Hannover hbf,3 h 36m
Hannover hbf,Bielefeld hbf,55m
Bielefeld hbf,Hannover hbf,55m
Hannover hbf,Dresden hbf,3 h 45m
Dresden hbf,Hannover hbf,3 h 45m
Hannover hbf,Cottbus hbf,3 h 24m
Cottbus hbf,Hannover hbf,3 h 24m
Hannover hbf,Aue (Sachs) Bahnhof,5 h 40m
Aue (Sachs) Bahnhof,Hannover hbf,5 h 40m
Hannover hbf,Ingolstadt hbf,3 h 32m
Ingolstadt hbf,Hannover hbf,3 h 32m
Hannover hbf,Osnabrück hbf,1 h 8m
Osnabrück hbf,Hannover hbf,1 h 8m
Hannover hbf,Essen hbf,2 h 10m
Essen hbf,Hannover hbf,2 h 10m
Hannover hbf,Saarbrücken hbf,4 h 35m
Saarbrücken hbf,Hannover hbf,4 h 35m
Hannover hbf,Heidelberg hbf,3 h 28m
Heidelberg hbf,Hannover hbf,3 h 28m
Hannover hbf,Gütersloh hbf,1 h 5m
Gütersloh hbf,Hannover hbf,1 h 5m
Hannover hbf,Mannheim hbf,3 h 3m
Mannheim hbf,Hannover hbf,3 h 3m
Hannover hbf,Wiesbaden hbf,3 h 9m
Wiesbaden hbf,Hannover hbf,3 h 9m
Paderborn hbf,Aachen hbf,3 h 11m
Aachen hbf,Paderborn hbf,3 h 11m
Paderborn hbf,Bielefeld hbf,54m
Bielefeld hbf,Paderborn hbf,54m
Paderborn hbf,Dresden hbf,4 h 50m
Dresden hbf,Paderborn hbf,4 h 50m
Paderborn hbf,Cottbus hbf,5 h 32m
Cottbus hbf,Paderborn hbf,5 h 32m
Paderborn hbf,Aue (Sachs) Bahnhof,6 h 47m
Aue (Sachs) Bahnhof,Paderborn hbf,6 h 47m
Paderborn hbf,Ingolstadt hbf,4 h
Ingolstadt hbf,Paderborn hbf,4 h
Paderborn hbf,Osnabrück hbf,1 h 39m
Osnabrück hbf,Paderborn hbf,1 h 39m
Paderborn hbf,Essen hbf,1 h 29m
Essen hbf,Paderborn hbf,1 h 29m
Paderborn hbf,Saarbrücken hbf,5 h 11m
Saarbrücken hbf,Paderborn hbf,5 h 11m
Paderborn hbf,Heidelberg hbf,4 h 5m
Heidelberg hbf,Paderborn hbf,4 h 5m
Paderborn hbf,Gütersloh hbf,1 h 17m
Gütersloh hbf,Paderborn hbf,1 h 17m
Paderborn hbf,Mannheim hbf,3 h 38m
Mannheim hbf,Paderborn hbf,3 h 38m
Paderborn hbf,Wiesbaden hbf,3 h 39m
Wiesbaden hbf,Paderborn hbf,3 h 39m
Fürth hbf,Aachen hbf,4 h 32m
Aachen hbf,Fürth hbf,4 h 32m
Fürth hbf,Bielefeld hbf,4 h 27m
Bielefeld hbf,Fürth hbf,4 h 27m
Fürth hbf,Dresden hbf,3 h 41m
Dresden hbf,Fürth hbf,3 h 41m
Fürth hbf,Cottbus hbf,4 h 58m
Cottbus hbf,Fürth hbf,4 h 58m
Fürth hbf,Aue (Sachs) Bahnhof,4 h 22m
Aue (Sachs) Bahnhof,Fürth hbf,4 h 22m
Fürth hbf,Ingolstadt hbf,41m
Ingolstadt hbf,Fürth hbf,41m
Fürth hbf,Osnabrück hbf,4 h 51m
Osnabrück hbf,Fürth hbf,4 h 51m
Fürth hbf,Essen hbf,4 h 18m
Essen hbf,Fürth hbf,4 h 18m
Fürth hbf,Saarbrücken hbf,5 h 3m
Saarbrücken hbf,Fürth hbf,5 h 3m
Fürth hbf,Heidelberg hbf,3 h 29m
Heidelberg hbf,Fürth hbf,3 h 29m
Fürth hbf,Gütersloh hbf,4 h 37m
Gütersloh hbf,Fürth hbf,4 h 37m
Fürth hbf,Mannheim hbf,3 h 15m
Mannheim hbf,Fürth hbf,3 h 15m
Fürth hbf,Wiesbaden hbf,3 h 10m
Wiesbaden hbf,Fürth hbf,3 h 10m
Gelsenkirchen hbf,Aachen hbf,1 h 51m
Aachen hbf,Gelsenkirchen hbf,1 h 51m
Gelsenkirchen hbf,Bielefeld hbf,1 h 25m
Bielefeld hbf,Gelsenkirchen hbf,1 h 25m
Gelsenkirchen hbf,Dresden hbf,6 h 32m
Dresden hbf,Gelsenkirchen hbf,6 h 32m
Gelsenkirchen hbf,Cottbus hbf,5 h 45m
Cottbus hbf,Gelsenkirchen hbf,5 h 45m
Gelsenkirchen hbf,Aue (Sachs) Bahnhof,8 h 6m
Aue (Sachs) Bahnhof,Gelsenkirchen hbf,8 h 6m
Gelsenkirchen hbf,Ingolstadt hbf,4 h 58m
Ingolstadt hbf,Gelsenkirchen hbf,4 h 58m
Gelsenkirchen hbf,Osnabrück hbf,1 h 7m
Osnabrück hbf,Gelsenkirchen hbf,1 h 7m
Gelsenkirchen hbf,Essen hbf,9m
Essen hbf,Gelsenkirchen hbf,9m
Gelsenkirchen hbf,Saarbrücken hbf,4 h 27m
Saarbrücken hbf,Gelsenkirchen hbf,4 h 27m
Gelsenkirchen hbf,Heidelberg hbf,3 h 6m
Heidelberg hbf,Gelsenkirchen hbf,3 h 6m
Gelsenkirchen hbf,Gütersloh hbf,1 h 23m
Gütersloh hbf,Gelsenkirchen hbf,1 h 23m
Gelsenkirchen hbf,Mannheim hbf,2 h 24m
Mannheim hbf,Gelsenkirchen hbf,2 h 24m
Gelsenkirchen hbf,Wiesbaden hbf,2 h 29m
Wiesbaden hbf,Gelsenkirchen hbf,2 h 29m
Neunkirchen hbf,Aachen hbf,4 h 6m
Aachen hbf,Neunkirchen hbf,4 h 6m
Neunkirchen hbf,Bielefeld hbf,5 h 15m
Bielefeld hbf,Neunkirchen hbf,5 h 15m
Neunkirchen hbf,Dresden hbf,7 h 5m
Dresden hbf,Neunkirchen hbf,7 h 5m
Neunkirchen hbf,Cottbus hbf,8 h 22m
Cottbus hbf,Neunkirchen hbf,8 h 22m
Neunkirchen hbf,Aue (Sachs) Bahnhof,8 h 43m
Aue (Sachs) Bahnhof,Neunkirchen hbf,8 h 43m
Neunkirchen hbf,Ingolstadt hbf,5 h 15m
Ingolstadt hbf,Neunkirchen hbf,5 h 15m
Neunkirchen hbf,Osnabrück hbf,5 h 29m
Osnabrück hbf,Neunkirchen hbf,5 h 29m
Neunkirchen hbf,Essen hbf,4 h 6m
Essen hbf,Neunkirchen hbf,4 h 6m
Neunkirchen hbf,Saarbrücken hbf,19m
Saarbrücken hbf,Neunkirchen hbf,19m
Neunkirchen hbf,Heidelberg hbf,1 h 52m
Heidelberg hbf,Neunkirchen hbf,1 h 52m
Neunkirchen hbf,Gütersloh hbf,5 h 35m
Gütersloh hbf,Neunkirchen hbf,5 h 35m
Neunkirchen hbf,Mannheim hbf,1 h 26m
Mannheim hbf,Neunkirchen hbf,1 h 26m
Neunkirchen hbf,Wiesbaden hbf,2 h 16m
Wiesbaden hbf,Neunkirchen hbf,2 h 16m
Nürnberg hbf,Aachen hbf,4 h 12m
Aachen hbf,Nürnberg hbf,4 h 12m
Nürnberg hbf,Bielefeld hbf,4 h 5m
Bielefeld hbf,Nürnberg hbf,4 h 5m
Nürnberg hbf,Dresden hbf,3 h 32m
Dresden hbf,Nürnberg hbf,3 h 32m
Nürnberg hbf,Cottbus hbf,4 h 49m
Cottbus hbf,Nürnberg hbf,4 h 49m
Nürnberg hbf,Aue (Sachs) Bahnhof,3 h 58m
Aue (Sachs) Bahnhof,Nürnberg hbf,3 h 58m
Nürnberg hbf,Ingolstadt hbf,27m
Ingolstadt hbf,Nürnberg hbf,27m
Nürnberg hbf,Osnabrück hbf,4 h 30m
Osnabrück hbf,Nürnberg hbf,4 h 30m
Nürnberg hbf,Essen hbf,3 h 58m
Essen hbf,Nürnberg hbf,3 h 58m
Nürnberg hbf,Saarbrücken hbf,4 h 40m
Saarbrücken hbf,Nürnberg hbf,4 h 40m
Nürnberg hbf,Heidelberg hbf,3 h 7m
Heidelberg hbf,Nürnberg hbf,3 h 7m
Nürnberg hbf,Gütersloh hbf,4 h 15m
Gütersloh hbf,Nürnberg hbf,4 h 15m
Nürnberg hbf,Mannheim hbf,2 h 51m
Mannheim hbf,Nürnberg hbf,2 h 51m
Nürnberg hbf,Wiesbaden hbf,2 h 50m
Wiesbaden hbf,Nürnberg hbf,2 h 50m
Kaiserslautern hbf,Aachen hbf,3 h 30m
Aachen hbf,Kaiserslautern hbf,3 h 30m
Kaiserslautern hbf,Bielefeld hbf,4 h 49m
Bielefeld hbf,Kaiserslautern hbf,4 h 49m
Kaiserslautern hbf,Dresden hbf,6 h 2m
Dresden hbf,Kaiserslautern hbf,6 h 2m
Kaiserslautern hbf,Cottbus hbf,7 h 18m
Cottbus hbf,Kaiserslautern hbf,7 h 18m
Kaiserslautern hbf,Aue (Sachs) Bahnhof,7 h 56m
Aue (Sachs) Bahnhof,Kaiserslautern hbf,7 h 56m
Kaiserslautern hbf,Ingolstadt hbf,4 h 26m
Ingolstadt hbf,Kaiserslautern hbf,4 h 26m
Kaiserslautern hbf,Osnabrück hbf,4 h 44m
Osnabrück hbf,Kaiserslautern hbf,4 h 44m
Kaiserslautern hbf,Essen hbf,3 h 24m
Essen hbf,Kaiserslautern hbf,3 h 24m
Kaiserslautern hbf,Saarbrücken hbf,37m
Saarbrücken hbf,Kaiserslautern hbf,37m
Kaiserslautern hbf,Heidelberg hbf,1 h 7m
Heidelberg hbf,Kaiserslautern hbf,1 h 7m
Kaiserslautern hbf,Gütersloh hbf,5 h 9m
Gütersloh hbf,Kaiserslautern hbf,5 h 9m
Kaiserslautern hbf,Mannheim hbf,39m
Mannheim hbf,Kaiserslautern hbf,39m
Kaiserslautern hbf,Wiesbaden hbf,1 h 53m
Wiesbaden hbf,Kaiserslautern hbf,1 h 53m
Magdeburg hbf,Aachen hbf,5 h 4m
Aachen hbf,Magdeburg hbf,5 h 4m
Magdeburg hbf,Bielefeld hbf,2 h 25m
Bielefeld hbf,Magdeburg hbf,2 h 25m
Magdeburg hbf,Dresden hbf,2 h 34m
Dresden hbf,Magdeburg hbf,2 h 34m
Magdeburg hbf,Cottbus hbf,3 h 34m
Cottbus hbf,Magdeburg hbf,3 h 34m
Magdeburg hbf,Aue (Sachs) Bahnhof,4 h 11m
Aue (Sachs) Bahnhof,Magdeburg hbf,4 h 11m
Magdeburg hbf,Ingolstadt hbf,3 h 28m
Ingolstadt hbf,Magdeburg hbf,3 h 28m
Magdeburg hbf,Osnabrück hbf,3 h
Osnabrück hbf,Magdeburg hbf,3 h
Magdeburg hbf,Essen hbf,3 h 38m
Essen hbf,Magdeburg hbf,3 h 38m
Magdeburg hbf,Saarbrücken hbf,5 h 57m
Saarbrücken hbf,Magdeburg hbf,5 h 57m
Magdeburg hbf,Heidelberg hbf,4 h 52m
Heidelberg hbf,Magdeburg hbf,4 h 52m
Magdeburg hbf,Gütersloh hbf,2 h 45m
Gütersloh hbf,Magdeburg hbf,2 h 45m
Magdeburg hbf,Mannheim hbf,4 h 25m
Mannheim hbf,Magdeburg hbf,4 h 25m
Magdeburg hbf,Wiesbaden hbf,4 h 25m
Wiesbaden hbf,Magdeburg hbf,4 h 25m
Braunschweig hbf,Aachen hbf,4 h 19m
Aachen hbf,Braunschweig hbf,4 h 19m
Braunschweig hbf,Bielefeld hbf,1 h 37m
Bielefeld hbf,Braunschweig hbf,1 h 37m
Braunschweig hbf,Dresden hbf,3 h 28m
Dresden hbf,Braunschweig hbf,3 h 28m
Braunschweig hbf,Cottbus hbf,3 h 39m
Cottbus hbf,Braunschweig hbf,3 h 39m
Braunschweig hbf,Aue (Sachs) Bahnhof,5 h 5m
Aue (Sachs) Bahnhof,Braunschweig hbf,5 h 5m
Braunschweig hbf,Ingolstadt hbf,3 h 59m
Ingolstadt hbf,Braunschweig hbf,3 h 59m
Braunschweig hbf,Osnabrück hbf,2 h 13m
Osnabrück hbf,Braunschweig hbf,2 h 13m
Braunschweig hbf,Essen hbf,2 h 52m
Essen hbf,Braunschweig hbf,2 h 52m
Braunschweig hbf,Saarbrücken hbf,5 h 2m
Saarbrücken hbf,Braunschweig hbf,5 h 2m
Braunschweig hbf,Heidelberg hbf,3 h 56m
Heidelberg hbf,Braunschweig hbf,3 h 56m
Braunschweig hbf,Gütersloh hbf,2 h
Gütersloh hbf,Braunschweig hbf,2 h
Braunschweig hbf,Mannheim hbf,3 h 30m
Mannheim hbf,Braunschweig hbf,3 h 30m
Braunschweig hbf,Wiesbaden hbf,3 h 31m
Wiesbaden hbf,Braunschweig hbf,3 h 31m
Ulm hbf,Aachen hbf,4 h 19m
Aachen hbf,Ulm hbf,4 h 19m
Ulm hbf,Bielefeld hbf,5 h 38m
Bielefeld hbf,Ulm hbf,5 h 38m
Ulm hbf,Dresden hbf,5 h 42m
Dresden hbf,Ulm hbf,5 h 42m
Ulm hbf,Cottbus hbf,7 h
Cottbus hbf,Ulm hbf,7 h
Ulm hbf,Aue (Sachs) Bahnhof,6 h 23m
Aue (Sachs) Bahnhof,Ulm hbf,6 h 23m
Ulm hbf,Ingolstadt hbf,1 h 50m
Ingolstadt hbf,Ulm hbf,1 h 50m
Ulm hbf,Osnabrück hbf,5 h 24m
Osnabrück hbf,Ulm hbf,5 h 24m
Ulm hbf,Essen hbf,4 h 3m
Essen hbf,Ulm hbf,4 h 3m
Ulm hbf,Saarbrücken hbf,2 h 58m
Saarbrücken hbf,Ulm hbf,2 h 58m
Ulm hbf,Heidelberg hbf,1 h 34m
Heidelberg hbf,Ulm hbf,1 h 34m
Ulm hbf,Gütersloh hbf,5 h 21m
Gütersloh hbf,Ulm hbf,5 h 21m
Ulm hbf,Mannheim hbf,1 h 27m
Mannheim hbf,Ulm hbf,1 h 27m
Ulm hbf,Wiesbaden hbf,2 h 43m
Wiesbaden hbf,Ulm hbf,2 h 43m
Münster (Westf) hbf,Aachen hbf,2 h 36m
Aachen hbf,Münster (Westf) hbf,2 h 36m
Münster (Westf) hbf,Bielefeld hbf,59m
Bielefeld hbf,Münster (Westf) hbf,59m
Münster (Westf) hbf,Dresden hbf,5 h 39m
Dresden hbf,Münster (Westf) hbf,5 h 39m
Münster (Westf) hbf,Cottbus hbf,5 h 20m
Cottbus hbf,Münster (Westf) hbf,5 h 20m
Münster (Westf) hbf,Aue (Sachs) Bahnhof,7 h 41m
Aue (Sachs) Bahnhof,Münster (Westf) hbf,7 h 41m
Münster (Westf) hbf,Ingolstadt hbf,5 h 23m
Ingolstadt hbf,Münster (Westf) hbf,5 h 23m
Münster (Westf) hbf,Osnabrück hbf,21m
Osnabrück hbf,Münster (Westf) hbf,21m
Münster (Westf) hbf,Essen hbf,49m
Essen hbf,Münster (Westf) hbf,49m
Münster (Westf) hbf,Saarbrücken hbf,4 h 47m
Saarbrücken hbf,Münster (Westf) hbf,4 h 47m
Münster (Westf) hbf,Heidelberg hbf,3 h 41m
Heidelberg hbf,Münster (Westf) hbf,3 h 41m
Münster (Westf) hbf,Gütersloh hbf,57m
Gütersloh hbf,Münster (Westf) hbf,57m
Münster (Westf) hbf,Mannheim hbf,3 h 10m
Mannheim hbf,Münster (Westf) hbf,3 h 10m
Münster (Westf) hbf,Wiesbaden hbf,3 h 13m
Wiesbaden hbf,Münster (Westf) hbf,3 h 13m
Rostock hbf,Aachen hbf,7 h 21m
Aachen hbf,Rostock hbf,7 h 21m
Rostock hbf,Bielefeld hbf,5 h 5m
Bielefeld hbf,Rostock hbf,5 h 5m
Rostock hbf,Dresden hbf,4 h 6m
Dresden hbf,Rostock hbf,4 h 6m
Rostock hbf,Cottbus hbf,3 h 34m
Cottbus hbf,Rostock hbf,3 h 34m
Rostock hbf,Aue (Sachs) Bahnhof,6 h 55m
Aue (Sachs) Bahnhof,Rostock hbf,6 h 55m
Rostock hbf,Ingolstadt hbf,6 h 18m
Ingolstadt hbf,Rostock hbf,6 h 18m
Rostock hbf,Osnabrück hbf,4 h 23m
Osnabrück hbf,Rostock hbf,4 h 23m
Rostock hbf,Essen hbf,5 h 12m
Essen hbf,Rostock hbf,5 h 12m
Rostock hbf,Saarbrücken hbf,8 h 22m
Saarbrücken hbf,Rostock hbf,8 h 22m
Rostock hbf,Heidelberg hbf,7 h 15m
Heidelberg hbf,Rostock hbf,7 h 15m
Rostock hbf,Gütersloh hbf,5 h 24m
Gütersloh hbf,Rostock hbf,5 h 24m
Rostock hbf,Mannheim hbf,6 h 48m
Mannheim hbf,Rostock hbf,6 h 48m
Rostock hbf,Wiesbaden hbf,6 h 58m
Wiesbaden hbf,Rostock hbf,6 h 58m
Aachen hbf,Bielefeld hbf,2 h 47m
Bielefeld hbf,Aachen hbf,2 h 47m
Aachen hbf,Dresden hbf,6 h 47m
Dresden hbf,Aachen hbf,6 h 47m
Aachen hbf,Cottbus hbf,7 h 7m
Cottbus hbf,Aachen hbf,7 h 7m
Aachen hbf,Aue (Sachs) Bahnhof,8 h 25m
Aue (Sachs) Bahnhof,Aachen hbf,8 h 25m
Aachen hbf,Ingolstadt hbf,5 h
Ingolstadt hbf,Aachen hbf,5 h
Aachen hbf,Osnabrück hbf,3 h 3m
Osnabrück hbf,Aachen hbf,3 h 3m
Aachen hbf,Essen hbf,1 h 38m
Essen hbf,Aachen hbf,1 h 38m
Aachen hbf,Saarbrücken hbf,4 h 8m
Saarbrücken hbf,Aachen hbf,4 h 8m
Aachen hbf,Heidelberg hbf,2 h 44m
Heidelberg hbf,Aachen hbf,2 h 44m
Aachen hbf,Gütersloh hbf,2 h 46m
Gütersloh hbf,Aachen hbf,2 h 46m
Aachen hbf,Mannheim hbf,2 h 16m
Mannheim hbf,Aachen hbf,2 h 16m
Aachen hbf,Wiesbaden hbf,2 h 32m
Wiesbaden hbf,Aachen hbf,2 h 32m
Bielefeld hbf,Dresden hbf,4 h 49m
Dresden hbf,Bielefeld hbf,4 h 49m
Bielefeld hbf,Cottbus hbf,4 h 17m
Cottbus hbf,Bielefeld hbf,4 h 17m
Bielefeld hbf,Aue (Sachs) Bahnhof,6 h 40m
Aue (Sachs) Bahnhof,Bielefeld hbf,6 h 40m
Bielefeld hbf,Ingolstadt hbf,4 h 30m
Ingolstadt hbf,Bielefeld hbf,4 h 30m
Bielefeld hbf,Osnabrück hbf,53m
Osnabrück hbf,Bielefeld hbf,53m
Bielefeld hbf,Essen hbf,1 h 17m
Essen hbf,Bielefeld hbf,1 h 17m
Bielefeld hbf,Saarbrücken hbf,5 h 31m
Saarbrücken hbf,Bielefeld hbf,5 h 31m
Bielefeld hbf,Heidelberg hbf,4 h 1m
Heidelberg hbf,Bielefeld hbf,4 h 1m
Bielefeld hbf,Gütersloh hbf,8m
Gütersloh hbf,Bielefeld hbf,8m
Bielefeld hbf,Mannheim hbf,3 h 41m
Mannheim hbf,Bielefeld hbf,3 h 41m
Bielefeld hbf,Wiesbaden hbf,3 h 50m
Wiesbaden hbf,Bielefeld hbf,3 h 50m
Dresden hbf,Cottbus hbf,2 h 1m
Cottbus hbf,Dresden hbf,2 h 1m
Dresden hbf,Aue (Sachs) Bahnhof,2 h 43m
Aue (Sachs) Bahnhof,Dresden hbf,2 h 43m
Dresden hbf,Ingolstadt hbf,4 h 29m
Ingolstadt hbf,Dresden hbf,4 h 29m
Dresden hbf,Osnabrück hbf,5 h 4m
Osnabrück hbf,Dresden hbf,5 h 4m
Dresden hbf,Essen hbf,6 h 23m
Essen hbf,Dresden hbf,6 h 23m
Dresden hbf,Saarbrücken hbf,6 h 49m
Saarbrücken hbf,Dresden hbf,6 h 49m
Dresden hbf,Heidelberg hbf,5 h 41m
Heidelberg hbf,Dresden hbf,5 h 41m
Dresden hbf,Gütersloh hbf,5 h 4m
Gütersloh hbf,Dresden hbf,5 h 4m
Dresden hbf,Mannheim hbf,5 h 15m
Mannheim hbf,Dresden hbf,5 h 15m
Dresden hbf,Wiesbaden hbf,5 h 14m
Wiesbaden hbf,Dresden hbf,5 h 14m
Cottbus hbf,Aue (Sachs) Bahnhof,4 h 13m
Aue (Sachs) Bahnhof,Cottbus hbf,4 h 13m
Cottbus hbf,Ingolstadt hbf,4 h 57m
Ingolstadt hbf,Cottbus hbf,4 h 57m
Cottbus hbf,Osnabrück hbf,4 h 57m
Osnabrück hbf,Cottbus hbf,4 h 57m
Cottbus hbf,Essen hbf,5 h 38m
Essen hbf,Cottbus hbf,5 h 38m
Cottbus hbf,Saarbrücken hbf,7 h 53m
Saarbrücken hbf,Cottbus hbf,7 h 53m
Cottbus hbf,Heidelberg hbf,6 h 8m
Heidelberg hbf,Cottbus hbf,6 h 8m
Cottbus hbf,Gütersloh hbf,4 h 44m
Gütersloh hbf,Cottbus hbf,4 h 44m
Cottbus hbf,Mannheim hbf,5 h 38m
Mannheim hbf,Cottbus hbf,5 h 38m
Cottbus hbf,Wiesbaden hbf,5 h 51m
Wiesbaden hbf,Cottbus hbf,5 h 51m
Aue (Sachs) Bahnhof,Ingolstadt hbf,4 h 51m
Ingolstadt hbf,Aue (Sachs) Bahnhof,4 h 51m
Aue (Sachs) Bahnhof,Osnabrück hbf,7 h 25m
Osnabrück hbf,Aue (Sachs) Bahnhof,7 h 25m
Aue (Sachs) Bahnhof,Essen hbf,8 h 6m
Essen hbf,Aue (Sachs) Bahnhof,8 h 6m
Aue (Sachs) Bahnhof,Saarbrücken hbf,8 h 36m
Saarbrücken hbf,Aue (Sachs) Bahnhof,8 h 36m
Aue (Sachs) Bahnhof,Heidelberg hbf,7 h 14m
Heidelberg hbf,Aue (Sachs) Bahnhof,7 h 14m
Aue (Sachs) Bahnhof,Gütersloh hbf,7 h 9m
Gütersloh hbf,Aue (Sachs) Bahnhof,7 h 9m
Aue (Sachs) Bahnhof,Mannheim hbf,6 h 48m
Mannheim hbf,Aue (Sachs) Bahnhof,6 h 48m
Aue (Sachs) Bahnhof,Wiesbaden hbf,6 h 49m
Wiesbaden hbf,Aue (Sachs) Bahnhof,6 h 49m
Ingolstadt hbf,Osnabrück hbf,5 h 5m
Osnabrück hbf,Ingolstadt hbf,5 h 5m
Ingolstadt hbf,Essen hbf,4 h 35m
Essen hbf,Ingolstadt hbf,4 h 35m
Ingolstadt hbf,Saarbrücken hbf,5 h 5m
Saarbrücken hbf,Ingolstadt hbf,5 h 5m
Ingolstadt hbf,Heidelberg hbf,3 h 36m
Heidelberg hbf,Ingolstadt hbf,3 h 36m
Ingolstadt hbf,Gütersloh hbf,4 h 53m
Gütersloh hbf,Ingolstadt hbf,4 h 53m
Ingolstadt hbf,Mannheim hbf,3 h 27m
Mannheim hbf,Ingolstadt hbf,3 h 27m
Ingolstadt hbf,Wiesbaden hbf,3 h 27m
Wiesbaden hbf,Ingolstadt hbf,3 h 27m
Osnabrück hbf,Essen hbf,1 h 14m
Essen hbf,Osnabrück hbf,1 h 14m
Osnabrück hbf,Saarbrücken hbf,5 h 22m
Saarbrücken hbf,Osnabrück hbf,5 h 22m
Osnabrück hbf,Heidelberg hbf,4 h 6m
Heidelberg hbf,Osnabrück hbf,4 h 6m
Osnabrück hbf,Gütersloh hbf,1 h 22m
Gütersloh hbf,Osnabrück hbf,1 h 22m
Osnabrück hbf,Mannheim hbf,3 h 46m
Mannheim hbf,Osnabrück hbf,3 h 46m
Osnabrück hbf,Wiesbaden hbf,3 h 56m
Wiesbaden hbf,Osnabrück hbf,3 h 56m
Essen hbf,Saarbrücken hbf,4 h 9m
Saarbrücken hbf,Essen hbf,4 h 9m
Essen hbf,Heidelberg hbf,2 h 44m
Heidelberg hbf,Essen hbf,2 h 44m
Essen hbf,Gütersloh hbf,1 h 9m
Gütersloh hbf,Essen hbf,1 h 9m
Essen hbf,Mannheim hbf,2 h 18m
Mannheim hbf,Essen hbf,2 h 18m
Essen hbf,Wiesbaden hbf,2 h 24m
Wiesbaden hbf,Essen hbf,2 h 24m
Saarbrücken hbf,Heidelberg hbf,1 h 44m
Heidelberg hbf,Saarbrücken hbf,1 h 44m
Saarbrücken hbf,Gütersloh hbf,5 h 47m
Gütersloh hbf,Saarbrücken hbf,5 h 47m
Saarbrücken hbf,Mannheim hbf,1 h 16m
Mannheim hbf,Saarbrücken hbf,1 h 16m
Saarbrücken hbf,Wiesbaden hbf,2 h 36m
Wiesbaden hbf,Saarbrücken hbf,2 h 36m
Heidelberg hbf,Gütersloh hbf,4 h 24m
Gütersloh hbf,Heidelberg hbf,4 h 24m
Heidelberg hbf,Mannheim hbf,16m
Mannheim hbf,Heidelberg hbf,16m
Heidelberg hbf,Wiesbaden hbf,1 h 7m
Wiesbaden hbf,Heidelberg hbf,1 h 7m
Gütersloh hbf,Mannheim hbf,3 h 30m
Mannheim hbf,Gütersloh hbf,3 h 30m
Gütersloh hbf,Wiesbaden hbf,3 h 50m
Wiesbaden hbf,Gütersloh hbf,3 h 50m
Mannheim hbf,Wiesbaden hbf,1 h 13m
Wiesbaden hbf,Mannheim hbf,1 h 13m
München hbf,Heidenheim hbf,1 h 47m
Heidenheim hbf,München hbf,1 h 47m
Dortmund hbf,Heidenheim hbf,5 h 22m
Heidenheim hbf,Dortmund hbf,5 h 22m
Leverkusen Mitte,Heidenheim hbf,4 h 39m
Heidenheim hbf,Leverkusen Mitte,4 h 39m
Leipzig hbf,Heidenheim hbf,5 h 5m
Heidenheim hbf,Leipzig hbf,5 h 5m
Stuttgart hbf,Heidenheim hbf,1 h 14m
Heidenheim hbf,Stuttgart hbf,1 h 14m
Frankfurt hbf,Heidenheim hbf,3 h 33m
Heidenheim hbf,Frankfurt hbf,3 h 33m
Freiburg (Breisgau) hbf,Heidenheim hbf,3 h 41m
Heidenheim hbf,Freiburg (Breisgau) hbf,3 h 41m
Berlin hbf,Heidenheim hbf,5 h 57m
Heidenheim hbf,Berlin hbf,5 h 57m
Sinsheim (Elsenz) hbf,Heidenheim hbf,3 h 44m
Heidenheim hbf,Sinsheim (Elsenz) hbf,3 h 44m
Mainz hbf,Heidenheim hbf,3 h 41m
Heidenheim hbf,Mainz hbf,3 h 41m
Wolfsburg hbf,Heidenheim hbf,5 h 45m
Heidenheim hbf,Wolfsburg hbf,5 h 45m
Mönchengladbach hbf,Heidenheim hbf,5 h 13m
Heidenheim hbf,Mönchengladbach hbf,5 h 13m
Bremen hbf,Heidenheim hbf,6 h 50m
Heidenheim hbf,Bremen hbf,6 h 50m
Augsburg hbf,Heidenheim hbf,1 h 15m
Heidenheim hbf,Augsburg hbf,1 h 15m
Bochum hbf,Heidenheim hbf,5 h 49m
Heidenheim hbf,Bochum hbf,5 h 49m
